objectid,name,download,confidence,st_areashape,st_lengthshape
507,10N_090W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_090W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_090W.tif,1245542887944.7,4464170.2424
508,10N_050E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_050E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_050E.tif,25104789769.5568,673615.8986
509,10S_170E_merge,http://s3.amazonaws.com/WHRC-carbon/10S_170E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10S_170E.tif,12649592036.6365,449904.151
510,20N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/20N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20N_100W.tif,905360573427.506,3852988.2974
511,20S_020E_merge,http://s3.amazonaws.com/WHRC-carbon/20S_020E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_020E.tif,1369805833894.83,4687424.8496
512,20S_080W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_080W.tif,1369805833894.83,4687424.8496
513,10N_100W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_100W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_100W.tif,49578187491.6485,890646.399
514,20S_060W_merge,http://s3.amazonaws.com/WHRC-carbon/20S_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_20S_060W.tif,1369805833894.83,4687424.8496
515,00N_090E_merge,http://s3.amazonaws.com/WHRC-carbon/00N_090E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_00N_090E.tif,74393060148.7423,1113562.1928
516,10N_080W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_080W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_080W.tif,1245542887944.7,4464170.2424
517,10N_130E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_130E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_130E.tif,1245542887944.7,4464170.2424
518,10N_000E_merge,http://s3.amazonaws.com/WHRC-carbon/10N_000E_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_000E.tif,0,4464170.2426
519,10N_060W_merge,http://s3.amazonaws.com/WHRC-carbon/10N_060W_merge.tif,http://s3.amazonaws.com/WHRC-carbon/Uncertainty/merged_per_tropical_asia_10N_060W.tif,1119862887400.87,4238369.7116
