OBJECTID,globalid,Shape_Length,Shape_Area,co2_per_ha,co2_per_px,tile_id
1,{A9EC0D35-B59A-491C-8B22-1C0F40EF757A},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_000E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_000E_tCO2_pixel_AGB_masked_by_loss.tif,00N_000E
2,{A0CFE6B8-02F3-43B2-B7BA-005BE2F44016},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_010E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_010E_tCO2_pixel_AGB_masked_by_loss.tif,00N_010E
3,{4CFA92C2-ED44-40B7-815A-FD7EFFA42F13},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_020E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_020E_tCO2_pixel_AGB_masked_by_loss.tif,00N_020E
4,{F60B027B-66E6-4BEB-BF3B-2AB07F716E7B},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_030E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_030E_tCO2_pixel_AGB_masked_by_loss.tif,00N_030E
5,{11AC8BF4-0E83-44FA-A98D-DADF6D16204C},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_040E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_040E_tCO2_pixel_AGB_masked_by_loss.tif,00N_040E
6,{88E64C83-5FE1-4778-9D16-21E019DB8D81},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_040W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_040W_tCO2_pixel_AGB_masked_by_loss.tif,00N_040W
7,{7B2759D2-F564-4F73-AB98-C3CB9E93BA9E},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_050W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_050W_tCO2_pixel_AGB_masked_by_loss.tif,00N_050W
8,{F5D22B4B-ADA6-4875-898F-B242E75720E9},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_060W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_060W_tCO2_pixel_AGB_masked_by_loss.tif,00N_060W
9,{5A21B238-7A54-48CB-BC9C-8E6A4CFA53F7},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_070W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_070W_tCO2_pixel_AGB_masked_by_loss.tif,00N_070W
10,{1C68F297-0401-45AE-B394-51FD02C12D7E},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_080W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_080W_tCO2_pixel_AGB_masked_by_loss.tif,00N_080W
11,{50EEF5C8-8747-4D26-AC56-6779D06AB7A5},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_090E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_090E_tCO2_pixel_AGB_masked_by_loss.tif,00N_090E
12,{0C06C145-AB0D-4276-A57B-EE88948FAF4D},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_090W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_090W_tCO2_pixel_AGB_masked_by_loss.tif,00N_090W
13,{9DF53D16-B2AC-4C78-8F66-713296CC0293},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_100E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_100E_tCO2_pixel_AGB_masked_by_loss.tif,00N_100E
14,{CDF190C4-4BAB-4B74-A438-A8E6F03F60DA},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_100W_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_100W_tCO2_pixel_AGB_masked_by_loss.tif,00N_100W
15,{E4C1B8C8-D10B-436B-9422-67C6A8E9C574},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_110E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_110E_tCO2_pixel_AGB_masked_by_loss.tif,00N_110E
16,{6CB3CC59-DDF2-4ABD-8C77-0E7CAD8BDE49},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_120E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_120E_tCO2_pixel_AGB_masked_by_loss.tif,00N_120E
17,{9FB41B54-7E4B-4FA3-AEFE-BE8B53B03E4B},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_130E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_130E_tCO2_pixel_AGB_masked_by_loss.tif,00N_130E
18,{5032E124-89BC-4FDC-AABF-59CD90D20903},4464169.76560001,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_140E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_140E_tCO2_pixel_AGB_masked_by_loss.tif,00N_140E
19,{E16EF3EF-B5AB-4EB5-93F0-BA9EE5E71804},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_150E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_150E_tCO2_pixel_AGB_masked_by_loss.tif,00N_150E
20,{91AC46EE-27ED-4A25-8EE2-274D002CE46B},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/00N_160E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/00N_160E_tCO2_pixel_AGB_masked_by_loss.tif,00N_160E
21,{9B742810-FAE4-4D50-B58A-616F4CFD6CD3},4464169.7656,1245542622559.04,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_000E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_000E_tCO2_pixel_AGB_masked_by_loss.tif,10N_000E
22,{E4439B01-2BF3-4681-A18B-B79C8AC60A54},4464169.7658,1245542622670.93,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_hectare/10N_010E_tCO2_ha_AGB_masked_by_loss.tif,http://gfw2-data.s3.amazonaws.com/climate/Hansen_emissions/2018_loss/per_pixel/10N_010E_tCO2_pixel_AGB_masked_by_loss.tif,10N_010E
